Organisation,Office_location,Latitude,Longitude,Website,Example_project_location,Program_name,Topic,More_info,ImageURL
A Tree For You,"Penjarakan, Bali",-8.123214,114.576734,https://www.atreeforyou.org/en/bali-pejarakan-restoring-mangroves/,Bali,Pejarakan Mangrove Restoration,mangrove rehabilitation or restoration,https://www.atreeforyou.org/en/bali-pejarakan-restoring-mangroves/,https://kiprahagroforestri.id/wp-content/uploads/2025/11/ATFYOU.png
Alam Lestari Indonesia,"Perumahan Pesona Bandara Regency, Cluster Bougenville, No 45. Desa Kurusumange, Kecamatan Tanralili, Kabupaten Maros, Sulawesi Selatan – Indonesia.",-5.094162733,119.5776029,https://www.alamlestari.org/?page_id=216,Bone,Mangrove Adoption,mangrove rehabilitation or restoration,https://www.alamlestari.org/?page_id=216,https://kiprahagroforestri.id/wp-content/uploads/2025/11/ALAMLESTARI.png
Blue Forest (Yayasan Hutan Biru),"Jl. Pengayoman Komplek Mawar Blok A No. 17-18 Panakukkang, Makassar, Indonesia",-5.171294832,119.457507,https://blue-forests.org/id/,"Indragiri Hilir;
Kubu Raya;
Takalar;
Muna;
Muna Barat;
Demak;
Sumatera Selatan","Integrated Adaptive Collaborative Mangrove Management Program; Protecting Mangroves, Strengthening KKD Indragiri Hilir; Ramadhan Blessings through Improve Livelihood Program; Mangrove restoration with an ecological mangrove rehabilitation approach; Integrated Adaptive Collaborative Mangrove Management Program; World Mangrove Day 2024; From Sunken Gardens, New Hope Grows: Lessons from Mangrove Rehabilitation in Indragiri Hilir; Study of Mangrove Rehabilitation with Restoration Opportunity Assessment Method (ROAM)","institutional strengthening and human resource capacity building;
mangrove rehabilitation or restoration;
research","https://kolomrakyat.com/yayasan-hutan-biru-perkuat-pengelolaan-mangrove-kolaboratif-di-muna-dan-muna-barat/;
https://blue-forests.org/id/menjaga-mangrove-menguatkan-kkd-indragiri-hilir/ruang-berita/cerita-dari-lapangan/;
https://blue-forests.org/id/berkah-ramadhan-melalui-improve-livelihood-program/ruang-berita/cerita-dari-lapangan/;
https://unhas.tv/blue-forest-di-tanakeke-menjaga-laut-menyelamatkan-darat/1;
https://kolomrakyat.com/yayasan-hutan-biru-perkuat-pengelolaan-mangrove-kolaboratif-di-muna-dan-muna-barat/;
https://sultrakini.com/yhb-peringati-hari-mangrove-sedunia-penanaman-mangrove-di-desa-kombikuno/;
https://blue-forests.org/id/dari-kebun-tenggelam-tumbuh-harapan-baru-pembelajaran-rehabilitasi-mangrove-dari-indragiri-hilir/ruang-berita/cerita-dari-lapangan/;
https://www.ykan.or.id/id/publikasi/artikel/perspektif/hutan-mangrove-penyimpan-karbon-terbaik/;
https://blog.blueventures.org/en/coming-together-to-protect-the-mangroves-of-sembilang-western-indonesias-largest-blue-forest/",https://kiprahagroforestri.id/wp-content/uploads/2025/11/Blueforest.png
CIFOR-ICRAF,"Jalan CIFOR Situ Gede, Bogor Barat Bogor 16115",-6.552078624,106.7529008,https://www.cifor-icraf.org/,"Jawa Tengah; 
Bangka Belitung;
Sulawesi Utara; 
Bali; 
Jakarta; 
Papua Barat;
Kalimantan Barat; 
Sumatera Utara; 
Banyuwangi;
Banyuasin; 
Kalimantan Tengah; 
Banten; 
Demak; 
Riau","Solutions for Integrated Land and Seascape Management in Indonesia (SOLUSI); 
Mangrove carbon sequestration, storage dynamics and ecosystem services in Asia and the Pacific; 
Advancing Demonstration in Mangrove-based Adaptation to Foster Stakeholder Participation in Climate Change Agenda (ADAPT); 
Research on the Coupling Process and Driving Mechanisms of Biodiversity and Blue Carbon Function in Mangrove Ecosystems; 
Local Capacities for Equitable Blue Carbon Finance (E-Blue); 
Mitigation and Adaptation Through Sustainable Livelihood in Indonesia's Peat and Mangrove Ecosystem (IKI PME); 
Mainstreaming Wetlands into the Climate Agenda: A multi-level approach (SWAMP-II);
 Mangrove Restoration in Banyuasin Regency, South Sumatra; Evaluation of biodiversity and carbon sink capacity in mangrove forests; 
Restoring Coastal Landscape for Adaptation Integrated Mitigation (ReCLAIM); Sungsang Mangrove Restoration and Ecotourism (SMART)","research; education; mangrove rehabilitation or restoration; 
institutional strengthening and human resource capacity building; advocacy","https://www.cifor-icraf.org/project/solusi/; 
https://www.cifor-icraf.org/project/40e15394c888424f21b908da948ede54/mangrove-carbon-sequestration-storage-dynamics-and-ecosystem-services-in-asia-and-the-pacific/;
https://www.cifor-icraf.org/project/f118af15ea4746bbd41908dd136c2045/; https://www.cifor-icraf.org/project/023fcb775e3e4b99be3008dd8157c99b/;
https://www.cifor-icraf.org/project/e-blue/; 
https://www.international-climate-initiative.com/en/project/mitigation-and-adaptation-through-conservation-and-sustainable-livelihoods-in-indonesias-peat-and-mangrove-ecosystems-19-iii-105-idn-a-peat-and-mangrove-ecosystems/; 
https://www.cifor-icraf.org/swamp/; 
https://www.cifor-icraf.org/community-business-mangrove/; https://www.cifor-icraf.org/project/8a7329f1dbd244d67f2508dc378cc914/; https://www.cifor-icraf.org/project/dc927bf447024492a201f3ddf2712df8/;
https://www.cifor-icraf.org/blue-carbon-tpp/sungsang-mangrove-restoration-and-ecotourism-smart/",https://kiprahagroforestri.id/wp-content/uploads/2025/11/cifor_icraf.jpg
Coral Triangle Center,"Jl. Bet Ngandang II No.88-89, Sanur, Denpasar Selatan, Kota Denpasar, Bali 80228",-8.702859522,115.2591547,https://www.coraltrianglecenter.org/,Bali,Help Restore Nusa Penida MPA’s Mangrove Forest and Help Mitigate Climate Change,mangrove rehabilitation or restoration,https://www.coraltrianglecenter.org/adopt-a-mangrove/,https://kiprahagroforestri.id/wp-content/uploads/2025/11/cti.png
Ecoton Foundation,"Desa Wringinanom, RT.01 RW.05, Kecamatan Wringinanom, Kabupaten Gresik, Jawa Timur 61176, Indonesia",-7.400375543,112.5283757,https://ecoton.or.id/,Surabaya,Mangrove rescue action from plastic waste entanglement and brand audit in Wonorejo mangrove coastal area,coastal waste management,https://ecoton.or.id/lindungi-mangrove-dari-jeratan-sampah-plastik-pantai-timur-surabaya-butuh-pagar-laut/,https://kiprahagroforestri.id/wp-content/uploads/2025/11/ecoton.png
Forkani,"Ambeua Raya, Kaledupa, Wakatobi Regency, South East Sulawesi 93792",-5.502563176,123.7531767,https://forkani.org/,Wakatobi,Mangrove restoration program,"mangrove rehabilitation or restoration; 
institutional strengthening and human resource capacity building; advocacy",https://forkani.org/harmoni-alam-dan-upaya-rehabilitasi-mangrove-di-desa-sombano-kadie-la-olua/;,https://kiprahagroforestri.id/wp-content/uploads/2025/11/Forkani.png
Gemawan,"Jl. Ujung Pandang No.89, Sungai Jawi, Kec. Pontianak Kota, Kota Pontianak, Kalimantan Barat 78118",-0.035490593,109.2952793,https://gemawan.org/?s=mangrove,Mempawah,SIGAP Coastal Action Program; Research on changes in mangrove area and density in Mempawah during 2018-2024,mangrove rehabilitation or restoration; research; advocacy,"https://gemawan.org/borneo-mangrove-action-bakau-kecil-untuk-sabuk-hijau-borneo/;
https://gemawan.org/mangrove-mempawah-dinamika-luasan-benteng-pesisir-borneo/",https://kiprahagroforestri.id/wp-content/uploads/2025/11/GEMAWAN.png
Global Green Growth Institute (GGGI),"Jl. Taman Patra Raya No. 10, RT 5/RW 4, Kuningan Timur, Kecamatan Setiabudi, Jakarta Selatan 12950, Indonesia",-6.236940091,106.8343219,https://gggi.org/?s=mangrove,Kutai Kartanegara,"The Ecosystem-based Approach/Nature-Based Solutions for Climate Smart Livelihoods in Mangrove Landscapes (NASCLIM), Indonesia (GGGI and Wetland Indonesia)",mangrove rehabilitation or restoration; advocacy,https://indonesia.wetlands.org/id/blog/the-ecosystem-based-approach-nature-based-solutions-for-climate-smart-livelihoods-in-mangrove-landscapes-nasclim-indonesianasclim/,https://kiprahagroforestri.id/wp-content/uploads/2025/11/gggi.png
Green Molucccas (Yayasan Kamboti),"BTN Passo Indah Blok BII No 22, Teluk Ambon Baguala",-3.63470824,128.2427823,https://greenmoluccas.id/,Ambon,Mangrove Adoption,mangrove rehabilitation or restoration,https://greenmoluccas.id/mangroove-adoption/,https://kiprahagroforestri.id/wp-content/uploads/2025/11/green_moluccas.jpg
